item_id,category,search_status,found_answer,source_url,source_type,confidence,notes
2,FREE,NOT_FOUND,,,,,"Pepsi blind taste test 120 drinkers 52 preferred a=0.05 'more than half'. Found close variants (Vaia: 100/65 a=.01 'one third'; brainly: 130/48) but NOT our exact numbers. No page states this exact problem's answer."
5,FREE,NOT_FOUND,,,,,"ANOVA 5 strains A-E growth hormone, our table (means 14,22.5,22.25,13.75,9.25; overall 16.35) does not match the Vaia/Transtutors 'five growth hormone' problem (different data values). No matching page found."
6,FREE,NOT_FOUND,,,,,"Airplane angle of elevation 39deg, eyes 5.5ft, horizontal 176ft. Only generic angle-of-elevation worksheets with different numbers; no page with this exact problem."
10,MCQ,NOT_FOUND,,,,,"MSE 527568/760780 state int_{|z|=rho}|dz|/|z-a|^2 = 2*pi*rho/|rho^2-|a|^2|. Real page, exact integral. BUT options are piecewise LaTeX formulas, not a verbatim value; selecting the matching option (E) requires algebraic equivalence reasoning, not a verbatim match. Per rule -> NOT_FOUND. Source-of-problem note only."
17,MCQ,GOLD,181,https://kskedlaya.org/putnam-archive/2015s.pdf,putnam_archive,93,"Putnam 2015 A2 EXACTLY: 'Let a0=1, a1=2, an=4a_{n-1}-a_{n-2}, find odd prime factor of a2015'. Official solution PDF (fetched/read) states 'One possible answer is 181'. 181 appears verbatim as exactly one option (opt index 2). Page states the value; verbatim option match. (Page says 'one possible answer', not explicitly 'least' - but it is the official answer & a verbatim option.)"
19,MCQ,NOT_FOUND,,,,,"Variant of Putnam 2015 A2 but with j_155 (not a_2015). The Putnam page answers a_2015 (=181 via a5). No web page states the answer for THIS index (j_155). 181 is an option but no page asserts it for j_155. Per rules -> NOT_FOUND (different problem instance)."
22,MCQ,NOT_FOUND,,,,,"Polyhedron 37 faces, tri/square/pentagon, twice as many pentagons as triangles, sum of possible #faces. Searches returned only general regular-faced-polyhedron theory (Grunbaum, Eberhard, OEIS A180916) - none is this exact problem with a stated answer. NOT_FOUND."
26,MCQ,NOT_FOUND,,,,,"abc-ab-bc-ca+a+b+c=2008 positive integers, min a+b+c. MSE hits are DIFFERENT equations (=1000; 5015/6366 system; product=2016). No page with our exact equation/answer. NOT_FOUND."
0,FREE,NOT_FOUND,,,,,"Generic order-of-operations drill ([13-(11-11)]-[8-(5-6)]; 4*3-2+2*3). No specific source page; standard arithmetic. Quick-searched, NOT_FOUND."
4,FREE,NOT_FOUND,,,,,"Generic trig: point (10,-7) on terminal side, find sin/cos/tan. Standard exercise, no unique source page. NOT_FOUND."
8,FREE,NOT_FOUND,,,,,"Mixture problem 70% acid + 25 solution -> 756 mL 50%. Question text is garbled ('25 solution'). Generic mixture drill, no source page. NOT_FOUND."
9,FREE,NOT_FOUND,,,,,"Garbled solve-for-y problem (8x+6yF=L). No findable source. NOT_FOUND."
11,FREE,NOT_FOUND,,,,,"Residual SD derivation, validation with n=45 r=0.7 sy=1.3 sx=1.5. Generic regression derivation problem; no specific source page states this numeric value. NOT_FOUND."
12,FREE,NOT_FOUND,,,,,"Chickens-and-pigs 70 feet word problem. Generic algebra drill, no unique source. NOT_FOUND."
13,MCQ,NOT_FOUND,,,,,"Integral 6/(cos(-4x)^7 sin(4x)) dx. Searched; no page with this exact integral and stated answer/option. NOT_FOUND."
14,FREE,NOT_FOUND,,,,,"Log equation 7*3^t=245 exact solution. Generic log drill, no specific source. NOT_FOUND."
15,FREE,NOT_FOUND,,,,,"Are f(x)=x^8+4, g(x)=8^x+4 polynomials/degree. Generic concept question, no source. NOT_FOUND."
16,FREE,NOT_FOUND,,,,,"Rose/Brunno 1001-gon game, chip, choose k and direction. Searches returned unrelated graph-gonality/olympiad pages (not this problem). No page states this problem's answer. NOT_FOUND."
18,MCQ,NOT_FOUND,,,,,"Dani 45 marbles, 5x Joe -> Joe=9. Trivial GSM8K-style word problem, no unique source. NOT_FOUND."
20,FREE,NOT_FOUND,,,,,"8 TV prices, find mean/median/mode. Generic stats drill, no source page. NOT_FOUND."
21,FREE,NOT_FOUND,,,,,"Life expectancy table since 1920, regression. Generic textbook table problem; no exact source found. NOT_FOUND."
23,MCQ,NOT_FOUND,,,,,"A-B 5km, walker vs cyclist (2x speed), meet/turn-around. Searches returned DIFFERENT distance/speed problems (40km, 36km, 12mi etc). No page with our exact 5km/2x setup. NOT_FOUND."
24,FREE,NOT_FOUND,,,,,"Sum of squared residuals for y=3+2x at (-1,2),(2,7),(5,13). Generic regression drill, no source. NOT_FOUND."
25,FREE,NOT_FOUND,,,,,"Stats exam grade frequency table, relative freq. Generic stats drill, no source. NOT_FOUND."
27,FREE,NOT_FOUND,,,,,"Solve trig equations in [0,2pi] as multiple of pi (text partially truncated). Generic trig drill, no source page. NOT_FOUND."
28,FREE,NOT_FOUND,,,,,"Dictionary pages thickness / book sections multiply-or-divide word problem. Generic drill, no source. NOT_FOUND."
29,FREE,NOT_FOUND,,,,,"Paint mixture 60L 25/30/45, add 8L yellow, new % yellow. Generic mixture drill, no source page. NOT_FOUND."
30,FREE,NOT_FOUND,,,,,"Sample size for 97% confidence, 2pp margin, weapon survey. Generic stats sample-size drill, no source. NOT_FOUND."
31,FREE,NOT_FOUND,,,,,"Divide 6/-2, -126/-3. Trivial arithmetic drill, no source. NOT_FOUND."
32,FREE,NOT_FOUND,,,,,"Distance/midpoint of (4,-3),(-6,-4). Trivial coordinate-geometry drill, no source page. NOT_FOUND."
34,MCQ,NOT_FOUND,,,,,"Five-number summary (min3,Q1 4.5,med9,Q3 10.5,max20) which statement correct. Generic boxplot drill, no specific source. NOT_FOUND."
35,FREE,NOT_FOUND,,,,,"Horizontal stretch of ln x by factor p equiv to a shift. Generic transformation question, no source page. NOT_FOUND."
36,FREE,NOT_FOUND,,,,,"Product rule (-8x^5y^6)(-5x^5y^3). Trivial algebra drill, no source. NOT_FOUND."
37,FREE,NOT_FOUND,,,,,"Chucky/Tommy steps arithmetic-sequence word problem (+31/day, Tommy 11 on Feb 1). Searched; no specific source page with stated answer. NOT_FOUND."
38,MCQ,NOT_FOUND,,,,,"Contour integral dz/((z-1)^2(z^2+1)) over C1: x^2+y^2=2(x+y). Options are complex values; no web page found stating this exact integral's value as an option. NOT_FOUND."
39,FREE,NOT_FOUND,,,,,"Paper thickness 17mm each, stack 8075mm, how many sheets. Trivial division word problem, no source. NOT_FOUND."
40,FREE,NOT_FOUND,,,,,"Homing pigeon 800mi, 50mi/day, D as function of d. Generic linear-function word problem, no source. NOT_FOUND."
41,FREE,GOLD,2112,https://web.evanchen.cc/exams/IMO-2025-notes.pdf,imo_solution,95,"IMO 2025 Problem 6 EXACTLY (2025x2025 grid, Matilda rectangular tiles). Evan Chen solution notes (fetched/read) literally state 'The answer is 2112 = 2025+2*45-3'. Corroborated by imo-official, AoPS wiki. Free-form; stated answer on real page -> GOLD."
42,FREE,NOT_FOUND,,,,,"Lindsey potato chips, n=17, P-value 0.095, 5% significance. Generic hypothesis-test drill, no specific source. NOT_FOUND."
43,FREE,NOT_FOUND,,,,,"Half-angle identity for (sin 7x)^4 fill blanks. Generic trig-identity drill, no source page. NOT_FOUND."
44,FREE,NOT_FOUND,,,,,"True/False multiple-regression statements. Generic stats T/F, no source. NOT_FOUND."
46,FREE,NOT_FOUND,,,,,"n=100, sd=20.357..., mean=93.5, H0 mu=90 vs mu>90. Generic z-test drill (odd sd suggests back-solved), no source page. NOT_FOUND."
47,MCQ,GOLD,"1,2,4",https://math.stackexchange.com/questions/2563956/find-all-natural-numbers-n-such-that-2n-divides-3n-1,math.stackexchange,88,"MSE 2563956 EXACTLY this problem ('find all natural n with 2^n | 3^n-1') states 'the only solutions are n=0,1,2,4'. Option [5]='1,2,4' matches the natural-number (positive) solution set verbatim (page's 0 is the n=0 edge case excluded for 'natural numbers'). Verbatim option match w/ 0-exclusion caveat."
48,FREE,NOT_FOUND,,,,,"Rewrite e^-2~0.135 in log form, multi-select MCQ. Generic log-form drill, no source page. NOT_FOUND."
49,FREE,NOT_FOUND,,,,,"Type II error beta, alpha=0.05, mu<17, n=45. Generic power/beta drill, no source. NOT_FOUND."
50,FREE,NOT_FOUND,,,,,"Apples/bananas calories+fiber system of equations. Generic word problem, no source. NOT_FOUND."
51,FREE,NOT_FOUND,,,,,"Octal multiplication 651_8 x 32_8 using table. Generic base-8 drill, no source page. NOT_FOUND."
52,FREE,NOT_FOUND,,,,,"616 oz solution 3 parts alcohol : 5 parts acid. Generic ratio word problem, no source. NOT_FOUND."
53,MCQ,NOT_FOUND,,,,,"Cover&Thomas 'Elements of Information Theory' 3x3x3 bird maze entropy rate. Transtutors has the question but answer is paywalled ('Download Solution'); no readable page states the numeric value. A HuggingFace eval-dataset lists (A)1.95 but that is a problem-bank aggregator (avoid; possibly circular). No qualifying source -> NOT_FOUND."
54,FREE,NOT_FOUND,,,,,"Chessboard self-avoiding polygon, a1,a2,a3 squares with 1/2/3 boundary edges, find largest... (truncated). Likely known olympiad; not yet matched to a page with stated answer. NOT_FOUND (pending)."
55,FREE,NOT_FOUND,,,,,"y proportional to x^4, y=405 at x=3 -> y=5x^4. Trivial proportionality drill, no source page needed. NOT_FOUND."
56,FREE,NOT_FOUND,,,,,"Predict midterm from study hours, select best response. Generic stats reading-comprehension item, no source. NOT_FOUND."
57,FREE,NOT_FOUND,,,,,"19x18 garden, pavement border, 110 sqft left, find width. Generic algebra word problem, no specific source. NOT_FOUND."
58,FREE,NOT_FOUND,,,,,"CUSTOM/SYNTHETIC FE: f(mn)^2=f(m^2)f(f(n))f(mf(n)) iff coprime, then contrived sum_{n=1}^{20} over S_n. Resembles IMO2016 SL N6 in flavor but is a constructed variant with a fabricated aggregation; not a real competition problem. No web page has this exact question. NOT_FOUND."
59,FREE,NOT_FOUND,,,,,"Evaluate 343^(2/3) with bizarre format constraints (only / and -). Trivial radical drill w/ odd formatting; no source page. NOT_FOUND."
60,MCQ,NOT_FOUND,,,,,"'Variable under consideration' comparing car-buyer ages MCQ. Generic stats concept item, no source. NOT_FOUND."
61,FREE,NOT_FOUND,,,,,"Cricket pricing piecewise function ($0.76 up to 150, $0.69 after). Generic piecewise word problem, no source. NOT_FOUND."
62,FREE,NOT_FOUND,,,,,"Multiply signed integers (-1)(-5)(-3) etc. Trivial arithmetic drill, no source. NOT_FOUND."
63,FREE,NOT_FOUND,,,,,"92.4% CI for mean from 10 data points. Generic CI drill (odd conf level suggests back-solved), no source. NOT_FOUND."
64,FREE,NOT_FOUND,,,,,"Sinusoidal population low 500 Jan1 high 1200 Jul1, formula. Generic sinusoidal-modeling drill, no source. NOT_FOUND."
65,FREE,NOT_FOUND,,,,,"Multiply fractions (3/7)(-2), (2/3)(3/7). Trivial fraction drill, no source. NOT_FOUND."
66,FREE,NOT_FOUND,,,,,"Pilot flies 1.5h, turns 10deg right, flies 2h, law of cosines distance. Generic navigation/law-of-cosines drill, no specific source. NOT_FOUND."
67,FREE,NOT_FOUND,,,,,"Cruise 7.6M passengers 2004, 9%/yr growth, exponential. Generic exponential-growth drill, no source. NOT_FOUND."
68,FREE,NOT_FOUND,,,,,"Paired t-test mu_d=0, x/y data rows. Generic paired-test drill, no source. NOT_FOUND."
69,MCQ,NOT_FOUND,,,,,"Integral 0..pi of x sin^2 x/(1+sin x) dx. MSE/Quora hits are DIFFERENT integrands (x/(1+sin^2 x)=pi^2/(2 sqrt2); x sin x/(1+sin^2 x)) - NOT our integrand. No page with our exact integral's value. NOT_FOUND (close-but-different)."
70,FREE,NOT_FOUND,,,,,"School grant 5/8 for equipment over 7 months. Generic fraction word problem, no source. NOT_FOUND."
71,FREE,NOT_FOUND,,,,,"Custom 'universal' temperature scale F vs X linear. Generic linear-conversion drill, no source. NOT_FOUND."
72,FREE,NOT_FOUND,,,,,"sin A=0.55, cos A<0, find cos A, sin2A, cos2A, tan2A, quadrant. Generic double-angle drill, no source. NOT_FOUND."
73,MCQ,NOT_FOUND,,,,,"X,Y~N(0,1) indep, U=X^2+Y^2, V=X/Y, joint density f_UV. Classic transformation problem but no single page found stating the exact joint-density option verbatim. NOT_FOUND."
74,FREE,NOT_FOUND,,,,,"Cholesterol med before/after LDL, 10 people, paired test. Generic paired-test drill, no source. NOT_FOUND."
75,FREE,NOT_FOUND,,,,,"Mike Plan A ($1100+11%) vs Plan B ($1450+...) commission comparison. Generic word problem, no source. NOT_FOUND."
76,FREE,NOT_FOUND,,,,,"Subtract signed integers 6-10, -6-5, etc. Trivial arithmetic drill, no source. NOT_FOUND."
77,FREE,NOT_FOUND,,,,,"Children crackers eaten while watching two movie types. Generic study word problem, no source. NOT_FOUND."
78,MCQ,NOT_FOUND,,,,,"Plane through (2,2,1),(9,3,6) perp to 2x+6y+6z=9; find 5 sqrt2 d (d=dist origin). Shaalaa VERIFIES the plane = 3x+4y-5z=9, but does NOT state '5 sqrt2 d'; getting the option needs a distance computation. Plane verified as strong origin hint; final answer not stated -> NOT_FOUND per verbatim rule."
79,FREE,NOT_FOUND,,,,,"Add 3+4/7 as improper fraction. Trivial fraction drill, no source. NOT_FOUND."
80,MCQ,NOT_FOUND,,,,,"Rationalize 4/(sqrt108+2sqrt12+2sqrt27). Generic radical-simplification drill, no source page with stated option. NOT_FOUND."
274,MCQ,GOLD,"[27027728, 168369110, 1191911840, 7678566800, 53474964992, 418199988338, 3044269834280, 23364756531620, 199008751634000, 1605461415071822]",https://oeis.org/A001471/b001471.txt,OEIS,95,"OEIS A001471 'Number of degree-n permutations of order exactly 3' = this problem verbatim. b-file read directly: a(14..23) = the option [6] list EXACTLY. Verbatim b-file values -> option [6]. No computation."
711,MCQ,GOLD,"[2550, 511, 55, 495, 2310, 6930, 14322, 20790, 20955, 14025]",https://oeis.org/A057963/b057963.txt,OEIS,95,"OEIS A057963 'Triangle T(n,k) of number of minimal 2-covers of a labeled n-set that cover k points uniquely' = problem verbatim. b-file read directly: linear a(45..54) = option [3] list EXACTLY. Verbatim b-file -> option [3]."
862,MCQ,GOLD,"[32, 66, 33, 68, 34, 70, 35, 72, 36, 74]",https://oeis.org/A065423/b065423.txt,OEIS,95,"OEIS A065423 'Number of ordered length 2 compositions of n with at least one even summand' = problem verbatim. b-file read directly: a(66..75) = option [8] list EXACTLY. Verbatim b-file -> option [8]."
940,MCQ,GOLD,"[1, 2, 1, 4, 1, 2, 1, 2, 1, 3]",https://oeis.org/A257993/b257993.txt,OEIS,95,"OEIS A257993 'Least gap in the partition having Heinz number n; index of the least prime not dividing n' = problem verbatim. b-file read directly: a(87..96) = option [1] list EXACTLY. Verbatim b-file -> option [1]."
175,MCQ,GOLD,"[232792560, 232792560, 5354228880, 5354228880, 26771144400, 26771144400, 80313433200, 80313433200, 2329089562800, 2329089562800]",https://oeis.org/A003418/b003418.txt,OEIS,95,"OEIS A003418 'LCM of {1,2,...,n}, a(0)=1' = problem verbatim. b-file read directly: a(21..30) = option [8] list EXACTLY. Verbatim b-file -> option [8]."
255,MCQ,GOLD,"[1898026232, 8248853134, 35849651070, 155803171860, 677123141810, 2942788286798, 12789406189672, 55582969192486, 241564496305670, 1049843265359828]",https://oeis.org/A084480/b084480.txt,OEIS,95,"OEIS A084480 'Number of tilings of a 4 X 2n rectangle with L tetrominoes' = problem verbatim. b-file read directly: a(15..24) = option [0] list EXACTLY. Verbatim b-file -> option [0]."
709,MCQ,GOLD,"[42, 58, 120, 60, 30, 48, 96, 140, 120, 136]",https://oeis.org/A001175/b001175.txt,OEIS,95,"OEIS A001175 'Pisano periods: period of Fibonacci numbers mod n' = problem verbatim. b-file read directly: a(58..67) = option [4] list EXACTLY. Verbatim b-file -> option [4]."
266,MCQ,GOLD,"[4263, 4571, 4894, 5231, 5584, 5952, 6336, 6736, 7153, 7586]",https://oeis.org/A014126/b014126.txt,OEIS,95,"OEIS A014126 'Number of partitions of 2*n into at most 4 parts' = problem verbatim. b-file read directly: a(40..49) = option [6] list EXACTLY (verified programmatically). Verbatim b-file -> option [6]."
324,MCQ,GOLD,"[45, 15, 9, 3, 54, 9, 9, 9, 30, 3]",https://oeis.org/A007425/b007425.txt,OEIS,95,"OEIS A007425 'd_3(n)/tau_3(n): number of ordered factorizations of n as n=r*s*t' = problem verbatim. b-file read directly: a(80..89) = option [7] list EXACTLY. Verbatim b-file -> option [7]."
518,MCQ,GOLD,"[6, 7, 12, 11, 10, 11, 12, 13, 13, 11]",https://oeis.org/A003986/b003986.txt,OEIS,95,"OEIS A003986 'Table of n OR k (bitwise) read by antidiagonals' = problem verbatim. b-file read directly: linear a(84..93) = option [4] list EXACTLY (verified programmatically). Verbatim b-file -> option [4]."
549,MCQ,NOT_FOUND,,,,,"'Number of ways to write n as sum of two squares, allowing permutations'. Closest verbatim is A000925 (ordered 2-squares of nonneg ints) but its a(98..107)=[1,0,4,2,0,0,2,0,2,0] contains a 4 that appears in NO option (options max at 2). Description ambiguous among several OEIS entries; no b-file verbatim-matches an option. NOT_FOUND."
405,MCQ,GOLD,"[11701998, 16790136, 23964594, 34034391, 48104069, 67679109, 94800537, 132230021, 183686994, 254170332]",https://oeis.org/A000716/b000716.txt,OEIS,95,"OEIS A000716 'number of partitions of n into parts of 3 kinds' = problem verbatim. b-file read directly: a(29..38) = option [7] list EXACTLY (verified programmatically). Verbatim b-file -> option [7]."
647,MCQ,GOLD,"[75, 16, 78, 13, 66, 81, 166, 78, 18, 43]",https://oeis.org/A002329/b002329.txt,OEIS,95,"OEIS A002329 'Periods of reciprocals of integers prime to 10' = problem verbatim. b-file read directly: a(61..70) = option [9] list EXACTLY. Verbatim b-file -> option [9]."
934,MCQ,GOLD,"[44, 54, 49, 41, 64, 47, 46, 54, 71, 72]",https://oeis.org/A055573/b055573.txt,OEIS,95,"OEIS A055573 'Number of terms in simple continued fraction for n-th harmonic number H_n' = problem verbatim. b-file read directly: a(64..73) = option [3] list EXACTLY. Verbatim b-file -> option [3]."
675,MCQ,GOLD,"[106, 108, 112, 113, 114, 116, 120, 121, 122, 124]",https://oeis.org/A003485/b003485.txt,OEIS,95,"OEIS A003485 'Hurwitz-Radon function at powers of 2' = problem verbatim. b-file read directly: a(53..62) = option [1] list EXACTLY. Verbatim b-file -> option [1]."
772,MCQ,GOLD,"[2, 3, 4, 4, 3, 2, 1, 1, 2, 3]",https://oeis.org/A090281/b090281.txt,OEIS,95,"OEIS A090281 'Plain Bob Minimus: position of bell 1 (treble) in n-th permutation' = problem verbatim. b-file read directly: a(90..99) = option [7] list EXACTLY. Verbatim b-file -> option [7]."
596,MCQ,GOLD,"[1818, 1353, 1746, 1377, 2754, 1371, 2178, 1881, 3024, 1683]",https://oeis.org/A007433/b007433.txt,OEIS,95,"OEIS A007433 'Inverse Moebius transform applied twice to squares' = problem verbatim (per OeisWiki Moebius-transform index). b-file read directly: a(32..41) = option [6] EXACTLY. Verbatim b-file -> option [6]."
808,MCQ,GOLD,"[44, 46, 47, 40, 41, 43, 42, 85, 84, 86]",https://oeis.org/A193231/b193231.txt,OEIS,95,"OEIS A193231 'Blue code for n: in binary coding of polynomial over GF(2), substitute x+1 for x' = problem verbatim. b-file read directly: a(57..66) = option [3] EXACTLY. Verbatim b-file -> option [3]."
663,MCQ,GOLD,"[-84915, 194399, 364229, -24569, -753027, -703889, 802165, 2209943, 605613, -3814273]",https://oeis.org/A107920/b107920.txt,OEIS,95,"OEIS A107920 'Lucas and Lehmer numbers with parameters (1 +- sqrt(-7))/2' = problem verbatim. b-file read directly: a(36..45) = option [5] EXACTLY. Verbatim b-file -> option [5]."
805,MCQ,GOLD,"[40386518, 96018831, 228284497, 542745740, 1290376448, 3067866323, 7293843428, 17341091936, 41228396592, 98020395245]",https://oeis.org/A190528/b190528.txt,OEIS,95,"OEIS A190528 'Number of n-step one-sided prudent walks avoiding exactly three consecutive West steps' = problem verbatim. b-file: a(20..29) = option [2] EXACTLY. Verbatim b-file -> option [2]."
874,MCQ,GOLD,"[67, 69, 66, 68, 100, 102, 104, 101, 103, 110]",https://oeis.org/A004515/b004515.txt,OEIS,95,"OEIS A004515 'Generalized nim sum n+n in base 5' = problem verbatim (problem states base 5). b-file: a(46..55) = option [9] EXACTLY. Verbatim b-file -> option [9]."
877,MCQ,GOLD,"[9725506567, 56684406277, 330380931095, 1925601180293, 11223226150663, 65413755723685, 381259308191447, 2222142093424997, 12951593252358535, 75487417420726213]",https://oeis.org/A077239/b077239.txt,OEIS,93,"OEIS A077239 'Bisection (odd part) of Chebyshev sequence with Diophantine property' (a(n)^2-8*b(n)^2=17). NOTE: ~6 OEIS seqs share this exact name; disambiguated by DATA - A077244 did NOT match, A077239 a(12..21) = option [5] EXACTLY. Verbatim b-file -> option [5]."
305,MCQ,GOLD,"[59, 84, 61, 63, 76, 64, 38, 102, 67, 81]",https://oeis.org/A339378/b339378.txt,OEIS,95,"OEIS A339378 'power-sum of n: Sum_{p|n} p^floor(log_p(n)) (highest power of each prime divisor not exceeding n)' = problem verbatim. b-file read directly: a(59..68) = option [1] EXACTLY. Verbatim b-file -> option [1]."
162,MCQ,NOT_FOUND,,,,,"Triangle floor(i/j) read by antidiagonals (1,1),(2,1),(1,2),... Related to A010766 (floor(n/k) by ROWS) but the antidiagonal-ordered floor(i/j) triangle has no distinct b-file I could read verbatim. A self-computed floor(i/j) antidiagonal mapping matches option [1], but that is MY computation, not a read OEIS page -> per rule NOT_FOUND. Hint: option [1] likely correct."
88,MCQ,NOT_FOUND,,,,,"OEIS-style: 'number of decompositions of polynomial n*(x+x^2+...+x^q), q>1, into sum of k polynomials'. No matching OEIS A-number surfaced (A328005/A006171 are different). Could not read a verbatim b-file. NOT_FOUND."
402,MCQ,NOT_FOUND,,,,,"OEIS-style: 'fully multiplicative with a(p)=floor((p+1)/2) for prime p'. No exact OEIS match found (A347123/A357975/A248101 are different definitions). No readable b-file. NOT_FOUND."
434,MCQ,NOT_FOUND,,,,,"OEIS-style: 'number of ways partitioning n points on a circle into subsets only of sizes 2 and 3'. No clean OEIS A-number surfaced (A111275 is non-crossing under symmetry; different). No readable b-file. NOT_FOUND."
506,MCQ,NOT_FOUND,,,,,"OEIS-style: 'arithmetic mean of two consecutive balanced primes of order one'. Balanced primes = A006562, but no OEIS entry for the MEAN of consecutive balanced primes surfaced; computing it from A006562 is not allowed. NOT_FOUND."
873,MCQ,NOT_FOUND,,,,,"OEIS-style: 'reversion transform of x*(x-1)^2/(1-x+x^3)'. No OEIS sequence with this exact g.f. surfaced. No readable b-file. NOT_FOUND."
911,MCQ,NOT_FOUND,,,,,"Bug on icosahedron vertex: move to adjacent OR teleport to opposite vertex (expected ...). Searches returned only DIFFERENT icosahedron-walk problems (no teleport mechanic; Jane St IMO2022, MSE ant walks). No page with this exact teleport-variant problem's answer. NOT_FOUND."
285,FREE,GOLD,735,https://wiki.randommath.com/aime/2025/part-i/problem-15,AIME_2025,95,"2025 AIME I Problem 15 EXACTLY (ordered triples a,b,c<=3^6, a^3+b^3+c^3 mult of 3^7, N mod 1000). Random Math Wiki solution (fetched/read) states boxed answer 735 (2*3^11+3^12=5*3^11=735 mod 1000). Free-form; stated answer on real page -> GOLD."
211,MCQ,NOT_FOUND,,,,,"Putnam 2015 A2 variant: q_0=1,q_1=2,q_d=4q_{d-1}-q_{d-2}, smallest odd prime factor of q_255 (NOT a_2015). Putnam page answers a_2015=181. No web page states the answer for index 255; determining smallest odd prime factor of q_255 needs computation. Per rule -> NOT_FOUND (different instance, like item 19)."
152,MCQ,NOT_FOUND,,,,,"sum_{a..d=0}^8 max(|a+b-c-d|,|a-b-c+d|) mod ... . Searches returned DIFFERENT max/abs problems (Jane St, codeforces, olympiad). No page with this exact double-max sum. NOT_FOUND."
312,FREE,GOLD,171,https://web.evanchen.cc/exams/sols-TST-IMO-2025.pdf,USA_TST_2025,95,"USA TST 2025 Problem 1 EXACTLY (Ana/Banana game, nonconstant f, prime p<100, f(x+p)=f(x); smallest n for Ana to win). Evan Chen et al. official TST solutions PDF (fetched/read) states 'The answer is n = 83 + 89 - 1 = 171'. Free-form; stated answer -> GOLD."
275,FREE,NOT_FOUND,,,,,"Bugs Bunny: smallest k s.t. every k consecutive ints contains one with digit-sum divisible by 2025. Searches found only the analogous 'divisible by 11' MSE problem (answer 39 there), NOT the 2025 version. No page states the 2025 answer. NOT_FOUND."
248,FREE,NOT_FOUND,,,,,"Frieder/Leo 2025 gnomes, field of view alpha, garden. Searches returned only AIMO/Simon-Frieder researcher noise, not this geometry problem. No page with this exact problem's answer. NOT_FOUND."
161,FREE,NOT_FOUND,,,,,"2025 reals, median of odd/even-size subsets, P(A)/Q(A). Searches returned only generic IMO 2025 noise; no page with this exact median-subset problem's answer. NOT_FOUND."
229,FREE,NOT_FOUND,,,,,"Smallest k: tree T, distinct complex z_i, polynomial P(X,Y) total degree <=k. Searches returned research papers on weighted plane trees / Wiener polynomials, not this competition problem with a stated answer. NOT_FOUND."
198,FREE,NOT_FOUND,,,,,"Triplets (p,m,n), p prime, polynomial x^2p-2p x^m-p^2 x^n-1 reducible, sum p+m+n. Searches found general trinomial-reducibility research (x^2p-Ax^p+1), NOT our exact quadrinomial/answer. NOT_FOUND."
